web-scraper-order,web-scraper-start-url,video-name,video-name-href
"1594627053-2928","https://www.youtube.com/c/YourQuoteApp/videos","'Ho Jaye Phir Se Pyaar' by Prashant Srivastava | Hindi Poetry | YourQuote In-House","https://www.youtube.com/watch?v=9L6ohpnkLwQ"
"1594627053-4191","https://www.youtube.com/c/YourQuoteApp/videos","'Blame' by Jhelum Anikhindi | English Poetry | YQ - Mumbai (Open Mic 1)","https://www.youtube.com/watch?v=-eOsZ8vCs0A"
"1594627053-4108","https://www.youtube.com/c/YourQuoteApp/videos","'Mumbai' & 'Bahut Chal Liya Hoon' by Abhishek T. | Hindi Poetry & Ghazal | YQ - Mumbai (Open Mic 2)","https://www.youtube.com/watch?v=U6V4juNWldw"
"1594627053-3639","https://www.youtube.com/c/YourQuoteApp/videos","'Amar Akbar Antony' by Tejraj Gehloth | Hindi Poetry | YourQuote - Chennai (Open Mic 3)","https://www.youtube.com/watch?v=X5JdPPHRiuQ"
"1594627053-3681","https://www.youtube.com/c/YourQuoteApp/videos","'Is There Blood On Your Hands?' by Arjun Bhatia | English Poetry | YQ - New Delhi (Open Mic 4)","https://www.youtube.com/watch?v=vKAuL95bX1Y"
"1594627053-3608","https://www.youtube.com/c/YourQuoteApp/videos","'Delhi Meri Jaan' & More by Amritanshu Yadav | Hindi Poetry | YourQuote - New Delhi (Open Mic 5)","https://www.youtube.com/watch?v=02EJotcPWXs"
"1594627053-2961","https://www.youtube.com/c/YourQuoteApp/videos","Language Festival 2018 (Curated by YourQuote) | Teaser","https://www.youtube.com/watch?v=2k9uak5wOds"
"1594627053-3232","https://www.youtube.com/c/YourQuoteApp/videos","'Tumne Yeh Sab Sikhaya Tha' by Piyush Pandey | Hindi Poetry | YourQuote - Noida (Open Mic 2)","https://www.youtube.com/watch?v=B-Yeu9iXfts"
"1594627053-3012","https://www.youtube.com/c/YourQuoteApp/videos","'Khali Sheeshe Se Peeta Raha' & More by Abdul Ali | Urdu Poetry | YourQuote Handpicked","https://www.youtube.com/watch?v=flgH0Ds97WY"
"1594627053-3151","https://www.youtube.com/c/YourQuoteApp/videos","'Haan Mujhe Darr Lagta Hain' by Shreya Levy | Hindi Poetry | YourQuote - Gorakhpur (Open Mic 1)","https://www.youtube.com/watch?v=bUydwJIIiR0"
"1594627053-4076","https://www.youtube.com/c/YourQuoteApp/videos","'Obsession' & 'It's Lust?' by Arunima Raghavan | English Poetry | YQ - Hyderabad (Open Mic 1)","https://www.youtube.com/watch?v=w28z3eOgP6U"
